# p q signal noise
34 71 8.686e+01 3.779e+00
34 72 8.203e+01 3.779e+00
34 73 8.250e+01 3.779e+00
34 74 6.570e+01 3.779e+00
34 75 5.303e+01 3.779e+00
34 76 4.770e+01 3.779e+00
34 77 4.854e+01 3.779e+00
34 78 3.524e+01 3.779e+00
34 79 2.843e+01 3.779e+00
34 80 3.351e+01 3.779e+00
35 53 3.608e+01 3.779e+00
35 54 5.198e+01 3.779e+00
35 55 6.570e+01 3.779e+00
35 56 8.200e+01 3.779e+00
35 57 8.952e+01 3.779e+00
35 58 1.015e+02 3.779e+00
35 59 1.122e+02 3.779e+00
35 60 1.235e+02 3.779e+00
35 61 1.330e+02 3.779e+00
35 62 1.644e+02 3.779e+00
35 63 1.765e+02 3.779e+00
35 64 1.839e+02 3.779e+00
35 65 1.854e+02 3.779e+00
35 66 1.764e+02 3.779e+00
35 67 1.559e+02 3.779e+00
35 68 1.288e+02 3.779e+00
35 69 1.023e+02 3.779e+00
35 70 8.637e+01 3.779e+00
35 71 7.566e+01 3.779e+00
35 72 5.609e+01 3.779e+00
35 73 5.105e+01 3.779e+00
35 74 4.791e+01 3.779e+00
35 75 3.917e+01 3.779e+00
35 76 3.457e+01 3.779e+00
35 77 3.287e+01 3.779e+00
36 52 3.235e+01 3.779e+00
36 53 5.026e+01 3.779e+00
36 54 6.523e+01 3.779e+00
36 55 8.972e+01 3.779e+00
36 56 9.884e+01 3.779e+00
36 57 1.049e+02 3.779e+00
